horizon_H_digits,tail_length,candidate_digit,tail_anchor_matches,candidate_string,true_next_digit,is_true_continuation,note
10000,100,0,True,56001016552563756780,5,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
10000,100,1,True,56001016552563756781,5,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
10000,100,2,True,56001016552563756782,5,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
10000,100,3,True,56001016552563756783,5,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
10000,100,4,True,56001016552563756784,5,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
10000,100,5,True,56001016552563756785,5,True,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
10000,100,6,True,56001016552563756786,5,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
10000,100,7,True,56001016552563756787,5,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
10000,100,8,True,56001016552563756788,5,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
10000,100,9,True,56001016552563756789,5,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
50000,100,0,True,05229002465742360410,3,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
50000,100,1,True,05229002465742360411,3,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
50000,100,2,True,05229002465742360412,3,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
50000,100,3,True,05229002465742360413,3,True,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
50000,100,4,True,05229002465742360414,3,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
50000,100,5,True,05229002465742360415,3,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
50000,100,6,True,05229002465742360416,3,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
50000,100,7,True,05229002465742360417,3,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
50000,100,8,True,05229002465742360418,3,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
50000,100,9,True,05229002465742360419,3,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
100000,100,0,True,74208056554936246460,4,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
100000,100,1,True,74208056554936246461,4,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
100000,100,2,True,74208056554936246462,4,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
100000,100,3,True,74208056554936246463,4,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
100000,100,4,True,74208056554936246464,4,True,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
100000,100,5,True,74208056554936246465,4,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
100000,100,6,True,74208056554936246466,4,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
100000,100,7,True,74208056554936246467,4,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
100000,100,8,True,74208056554936246468,4,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
100000,100,9,True,74208056554936246469,4,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
500000,100,0,True,04248760251381952420,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
500000,100,1,True,04248760251381952421,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
500000,100,2,True,04248760251381952422,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
500000,100,3,True,04248760251381952423,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
500000,100,4,True,04248760251381952424,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
500000,100,5,True,04248760251381952425,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
500000,100,6,True,04248760251381952426,6,True,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
500000,100,7,True,04248760251381952427,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
500000,100,8,True,04248760251381952428,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
500000,100,9,True,04248760251381952429,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
1000000,100,0,True,20901061057794581510,3,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
1000000,100,1,True,20901061057794581511,3,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
1000000,100,2,True,20901061057794581512,3,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
1000000,100,3,True,20901061057794581513,3,True,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
1000000,100,4,True,20901061057794581514,3,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
1000000,100,5,True,20901061057794581515,3,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
1000000,100,6,True,20901061057794581516,3,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
1000000,100,7,True,20901061057794581517,3,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
1000000,100,8,True,20901061057794581518,3,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
1000000,100,9,True,20901061057794581519,3,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
2000000,100,0,True,68710651914572979090,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
2000000,100,1,True,68710651914572979091,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
2000000,100,2,True,68710651914572979092,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
2000000,100,3,True,68710651914572979093,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
2000000,100,4,True,68710651914572979094,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
2000000,100,5,True,68710651914572979095,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
2000000,100,6,True,68710651914572979096,6,True,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
2000000,100,7,True,68710651914572979097,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
2000000,100,8,True,68710651914572979098,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
2000000,100,9,True,68710651914572979099,6,False,tail anchor verifies boundary alignment; independent interval/next-digit data selects digit
