H,position_after_decimal,known_tail_len,known_tail_100,true_next_digit,Q_cert,L_min,offset,L_cert,decimal_digits_used_for_certificate,q_cell_digits,Amin_minus_prefix_low,Amax_minus_prefix_low,candidate_count,recovered_digit,success,next_20_actual
10000,10001,100,2645600162374288021092764579310657922955249887275846101264836999892256959688159205600101655256375678,5,4,168,0,168,182,101,5,6,2,,False,56672279661988578279
10000,10001,100,2645600162374288021092764579310657922955249887275846101264836999892256959688159205600101655256375678,5,4,168,1,169,182,102,5,5,1,5,True,56672279661988578279
10000,10001,100,2645600162374288021092764579310657922955249887275846101264836999892256959688159205600101655256375678,5,4,168,2,170,183,102,5,5,1,5,True,56672279661988578279
10000,10001,100,2645600162374288021092764579310657922955249887275846101264836999892256959688159205600101655256375678,5,4,168,4,172,184,103,5,5,1,5,True,56672279661988578279
10000,10001,100,2645600162374288021092764579310657922955249887275846101264836999892256959688159205600101655256375678,5,4,168,8,176,186,106,5,5,1,5,True,56672279661988578279
10000,10001,100,2645600162374288021092764579310657922955249887275846101264836999892256959688159205600101655256375678,5,16,84,0,84,182,101,5,6,2,,False,56672279661988578279
10000,10001,100,2645600162374288021092764579310657922955249887275846101264836999892256959688159205600101655256375678,5,16,84,1,85,183,102,5,5,1,5,True,56672279661988578279
10000,10001,100,2645600162374288021092764579310657922955249887275846101264836999892256959688159205600101655256375678,5,16,84,2,86,184,103,5,5,1,5,True,56672279661988578279
10000,10001,100,2645600162374288021092764579310657922955249887275846101264836999892256959688159205600101655256375678,5,16,84,4,88,186,106,5,5,1,5,True,56672279661988578279
10000,10001,100,2645600162374288021092764579310657922955249887275846101264836999892256959688159205600101655256375678,5,16,84,8,92,191,111,5,5,1,5,True,56672279661988578279
50000,50001,100,1584052295369374997106655948944592462866199635563506526234053394391421112718106910522900246574236041,3,4,168,0,168,182,101,2,3,2,,False,30093691889255865784
50000,50001,100,1584052295369374997106655948944592462866199635563506526234053394391421112718106910522900246574236041,3,4,168,1,169,182,101,2,3,2,,False,30093691889255865784
50000,50001,100,1584052295369374997106655948944592462866199635563506526234053394391421112718106910522900246574236041,3,4,168,2,170,183,102,3,3,1,3,True,30093691889255865784
50000,50001,100,1584052295369374997106655948944592462866199635563506526234053394391421112718106910522900246574236041,3,4,168,4,172,184,103,3,3,1,3,True,30093691889255865784
50000,50001,100,1584052295369374997106655948944592462866199635563506526234053394391421112718106910522900246574236041,3,4,168,8,176,186,106,3,3,1,3,True,30093691889255865784
50000,50001,100,1584052295369374997106655948944592462866199635563506526234053394391421112718106910522900246574236041,3,16,84,0,84,182,101,2,3,2,,False,30093691889255865784
50000,50001,100,1584052295369374997106655948944592462866199635563506526234053394391421112718106910522900246574236041,3,16,84,1,85,183,102,3,3,1,3,True,30093691889255865784
50000,50001,100,1584052295369374997106655948944592462866199635563506526234053394391421112718106910522900246574236041,3,16,84,2,86,184,103,3,3,1,3,True,30093691889255865784
50000,50001,100,1584052295369374997106655948944592462866199635563506526234053394391421112718106910522900246574236041,3,16,84,4,88,186,106,3,3,1,3,True,30093691889255865784
50000,50001,100,1584052295369374997106655948944592462866199635563506526234053394391421112718106910522900246574236041,3,16,84,8,92,191,110,3,3,1,3,True,30093691889255865784
100000,100001,100,8575016363411314627530499019135646823804329970695770150789337728658035712790913767420805655493624646,4,4,168,0,168,182,102,4,4,1,4,True,41260024379684543777
100000,100001,100,8575016363411314627530499019135646823804329970695770150789337728658035712790913767420805655493624646,4,4,168,1,169,182,102,4,4,1,4,True,41260024379684543777
100000,100001,100,8575016363411314627530499019135646823804329970695770150789337728658035712790913767420805655493624646,4,4,168,2,170,183,103,4,4,1,4,True,41260024379684543777
100000,100001,100,8575016363411314627530499019135646823804329970695770150789337728658035712790913767420805655493624646,4,4,168,4,172,184,104,4,4,1,4,True,41260024379684543777
100000,100001,100,8575016363411314627530499019135646823804329970695770150789337728658035712790913767420805655493624646,4,4,168,8,176,186,106,4,4,1,4,True,41260024379684543777
100000,100001,100,8575016363411314627530499019135646823804329970695770150789337728658035712790913767420805655493624646,4,16,84,0,84,182,102,4,4,1,4,True,41260024379684543777
100000,100001,100,8575016363411314627530499019135646823804329970695770150789337728658035712790913767420805655493624646,4,16,84,1,85,183,103,4,4,1,4,True,41260024379684543777
100000,100001,100,8575016363411314627530499019135646823804329970695770150789337728658035712790913767420805655493624646,4,16,84,2,86,184,104,4,4,1,4,True,41260024379684543777
100000,100001,100,8575016363411314627530499019135646823804329970695770150789337728658035712790913767420805655493624646,4,16,84,4,88,186,106,4,4,1,4,True,41260024379684543777
100000,100001,100,8575016363411314627530499019135646823804329970695770150789337728658035712790913767420805655493624646,4,16,84,8,92,191,111,4,4,1,4,True,41260024379684543777
500000,500001,100,5341652370316530704325828337211237137609695939937549536223222219746596193325290740424876025138195242,6,4,168,0,168,182,101,6,7,2,,False,69739101756371975343
500000,500001,100,5341652370316530704325828337211237137609695939937549536223222219746596193325290740424876025138195242,6,4,168,1,169,182,102,6,7,2,,False,69739101756371975343
500000,500001,100,5341652370316530704325828337211237137609695939937549536223222219746596193325290740424876025138195242,6,4,168,2,170,183,103,6,6,1,6,True,69739101756371975343
500000,500001,100,5341652370316530704325828337211237137609695939937549536223222219746596193325290740424876025138195242,6,4,168,4,172,184,104,6,6,1,6,True,69739101756371975343
500000,500001,100,5341652370316530704325828337211237137609695939937549536223222219746596193325290740424876025138195242,6,4,168,8,176,186,106,6,6,1,6,True,69739101756371975343
500000,500001,100,5341652370316530704325828337211237137609695939937549536223222219746596193325290740424876025138195242,6,16,84,0,84,182,101,6,7,2,,False,69739101756371975343
500000,500001,100,5341652370316530704325828337211237137609695939937549536223222219746596193325290740424876025138195242,6,16,84,1,85,183,103,6,6,1,6,True,69739101756371975343
500000,500001,100,5341652370316530704325828337211237137609695939937549536223222219746596193325290740424876025138195242,6,16,84,2,86,184,104,6,6,1,6,True,69739101756371975343
500000,500001,100,5341652370316530704325828337211237137609695939937549536223222219746596193325290740424876025138195242,6,16,84,4,88,186,106,6,6,1,6,True,69739101756371975343
500000,500001,100,5341652370316530704325828337211237137609695939937549536223222219746596193325290740424876025138195242,6,16,84,8,92,191,111,6,6,1,6,True,69739101756371975343
1000000,1000001,100,0315614033321272849194418437150696552087542450598956787961303311646283996346460422090106105779458151,3,4,168,0,168,182,100,2,3,2,,False,30927562832084531584
1000000,1000001,100,0315614033321272849194418437150696552087542450598956787961303311646283996346460422090106105779458151,3,4,168,1,169,182,101,2,3,2,,False,30927562832084531584
1000000,1000001,100,0315614033321272849194418437150696552087542450598956787961303311646283996346460422090106105779458151,3,4,168,2,170,183,101,3,3,1,3,True,30927562832084531584
1000000,1000001,100,0315614033321272849194418437150696552087542450598956787961303311646283996346460422090106105779458151,3,4,168,4,172,184,103,3,3,1,3,True,30927562832084531584
1000000,1000001,100,0315614033321272849194418437150696552087542450598956787961303311646283996346460422090106105779458151,3,4,168,8,176,186,105,3,3,1,3,True,30927562832084531584
1000000,1000001,100,0315614033321272849194418437150696552087542450598956787961303311646283996346460422090106105779458151,3,16,84,0,84,182,100,2,3,2,,False,30927562832084531584
1000000,1000001,100,0315614033321272849194418437150696552087542450598956787961303311646283996346460422090106105779458151,3,16,84,1,85,183,101,3,3,1,3,True,30927562832084531584
1000000,1000001,100,0315614033321272849194418437150696552087542450598956787961303311646283996346460422090106105779458151,3,16,84,2,86,184,103,3,3,1,3,True,30927562832084531584
1000000,1000001,100,0315614033321272849194418437150696552087542450598956787961303311646283996346460422090106105779458151,3,16,84,4,88,186,105,3,3,1,3,True,30927562832084531584
1000000,1000001,100,0315614033321272849194418437150696552087542450598956787961303311646283996346460422090106105779458151,3,16,84,8,92,191,110,3,3,1,3,True,30927562832084531584
1500000,1500001,100,1297544217105825909273186342563811411106337015947872936495004049671124794715117319607737991914462295,2,4,168,0,168,182,101,1,2,2,,False,24435205950168142137
1500000,1500001,100,1297544217105825909273186342563811411106337015947872936495004049671124794715117319607737991914462295,2,4,168,1,169,182,101,2,2,1,2,True,24435205950168142137
1500000,1500001,100,1297544217105825909273186342563811411106337015947872936495004049671124794715117319607737991914462295,2,4,168,2,170,183,102,2,2,1,2,True,24435205950168142137
1500000,1500001,100,1297544217105825909273186342563811411106337015947872936495004049671124794715117319607737991914462295,2,4,168,4,172,184,103,2,2,1,2,True,24435205950168142137
1500000,1500001,100,1297544217105825909273186342563811411106337015947872936495004049671124794715117319607737991914462295,2,4,168,8,176,186,106,2,2,1,2,True,24435205950168142137
1500000,1500001,100,1297544217105825909273186342563811411106337015947872936495004049671124794715117319607737991914462295,2,16,84,0,84,182,101,1,2,2,,False,24435205950168142137
1500000,1500001,100,1297544217105825909273186342563811411106337015947872936495004049671124794715117319607737991914462295,2,16,84,1,85,183,102,2,2,1,2,True,24435205950168142137
1500000,1500001,100,1297544217105825909273186342563811411106337015947872936495004049671124794715117319607737991914462295,2,16,84,2,86,184,103,2,2,1,2,True,24435205950168142137
1500000,1500001,100,1297544217105825909273186342563811411106337015947872936495004049671124794715117319607737991914462295,2,16,84,4,88,186,106,2,2,1,2,True,24435205950168142137
1500000,1500001,100,1297544217105825909273186342563811411106337015947872936495004049671124794715117319607737991914462295,2,16,84,8,92,191,110,2,2,1,2,True,24435205950168142137
