H_boundary,position_first_hidden_digit,known_tail_len,hidden_k,known_tail_100,true_hidden,Q_cert,L_min,offset,L_cert,decimal_digits_used_for_certificate,q_cell_C_decimal_digit_length,candidate_count_after_prefix_intersection,recovered_hidden,success,A_min_minus_prefix_low,A_max_minus_prefix_low,candidate_low_minus_prefix_low,candidate_high_minus_prefix_low,next_30_actual
100000,100001,100,10,8575016363411314627530499019135646823804329970695770150789337728658035712790913767420805655493624646,4126002437,4,183,0,183,201,111,2,,False,4126002437,4126002438,4126002437,4126002438,412600243796845437773390264725
100000,100001,100,10,8575016363411314627530499019135646823804329970695770150789337728658035712790913767420805655493624646,4126002437,4,183,1,184,201,111,2,,False,4126002437,4126002438,4126002437,4126002438,412600243796845437773390264725
100000,100001,100,10,8575016363411314627530499019135646823804329970695770150789337728658035712790913767420805655493624646,4126002437,4,183,2,185,202,112,1,4126002437,True,4126002437,4126002437,4126002437,4126002437,412600243796845437773390264725
100000,100001,100,10,8575016363411314627530499019135646823804329970695770150789337728658035712790913767420805655493624646,4126002437,4,183,4,187,203,113,1,4126002437,True,4126002437,4126002437,4126002437,4126002437,412600243796845437773390264725
100000,100001,100,10,8575016363411314627530499019135646823804329970695770150789337728658035712790913767420805655493624646,4126002437,4,183,8,191,205,115,1,4126002437,True,4126002437,4126002437,4126002437,4126002437,412600243796845437773390264725
100000,100001,100,10,8575016363411314627530499019135646823804329970695770150789337728658035712790913767420805655493624646,4126002437,16,92,0,92,201,111,2,,False,4126002437,4126002438,4126002437,4126002438,412600243796845437773390264725
100000,100001,100,10,8575016363411314627530499019135646823804329970695770150789337728658035712790913767420805655493624646,4126002437,16,92,1,93,202,112,1,4126002437,True,4126002437,4126002437,4126002437,4126002437,412600243796845437773390264725
100000,100001,100,10,8575016363411314627530499019135646823804329970695770150789337728658035712790913767420805655493624646,4126002437,16,92,2,94,204,114,1,4126002437,True,4126002437,4126002437,4126002437,4126002437,412600243796845437773390264725
100000,100001,100,10,8575016363411314627530499019135646823804329970695770150789337728658035712790913767420805655493624646,4126002437,16,92,4,96,206,116,1,4126002437,True,4126002437,4126002437,4126002437,4126002437,412600243796845437773390264725
100000,100001,100,10,8575016363411314627530499019135646823804329970695770150789337728658035712790913767420805655493624646,4126002437,16,92,8,100,211,121,1,4126002437,True,4126002437,4126002437,4126002437,4126002437,412600243796845437773390264725
500000,500001,100,10,5341652370316530704325828337211237137609695939937549536223222219746596193325290740424876025138195242,6973910175,4,183,0,183,201,110,2,,False,6973910175,6973910176,6973910175,6973910176,697391017563719753430044796178
500000,500001,100,10,5341652370316530704325828337211237137609695939937549536223222219746596193325290740424876025138195242,6973910175,4,183,1,184,201,111,1,6973910175,True,6973910175,6973910175,6973910175,6973910175,697391017563719753430044796178
500000,500001,100,10,5341652370316530704325828337211237137609695939937549536223222219746596193325290740424876025138195242,6973910175,4,183,2,185,202,112,1,6973910175,True,6973910175,6973910175,6973910175,6973910175,697391017563719753430044796178
500000,500001,100,10,5341652370316530704325828337211237137609695939937549536223222219746596193325290740424876025138195242,6973910175,4,183,4,187,203,113,1,6973910175,True,6973910175,6973910175,6973910175,6973910175,697391017563719753430044796178
500000,500001,100,10,5341652370316530704325828337211237137609695939937549536223222219746596193325290740424876025138195242,6973910175,4,183,8,191,205,115,1,6973910175,True,6973910175,6973910175,6973910175,6973910175,697391017563719753430044796178
500000,500001,100,10,5341652370316530704325828337211237137609695939937549536223222219746596193325290740424876025138195242,6973910175,16,92,0,92,201,111,1,6973910175,True,6973910175,6973910175,6973910175,6973910175,697391017563719753430044796178
500000,500001,100,10,5341652370316530704325828337211237137609695939937549536223222219746596193325290740424876025138195242,6973910175,16,92,1,93,202,112,1,6973910175,True,6973910175,6973910175,6973910175,6973910175,697391017563719753430044796178
500000,500001,100,10,5341652370316530704325828337211237137609695939937549536223222219746596193325290740424876025138195242,6973910175,16,92,2,94,204,113,1,6973910175,True,6973910175,6973910175,6973910175,6973910175,697391017563719753430044796178
500000,500001,100,10,5341652370316530704325828337211237137609695939937549536223222219746596193325290740424876025138195242,6973910175,16,92,4,96,206,116,1,6973910175,True,6973910175,6973910175,6973910175,6973910175,697391017563719753430044796178
500000,500001,100,10,5341652370316530704325828337211237137609695939937549536223222219746596193325290740424876025138195242,6973910175,16,92,8,100,211,121,1,6973910175,True,6973910175,6973910175,6973910175,6973910175,697391017563719753430044796178
1000000,1000001,100,10,0315614033321272849194418437150696552087542450598956787961303311646283996346460422090106105779458151,3092756283,4,183,0,183,201,109,2,,False,3092756282,3092756283,3092756282,3092756283,309275628320845315846520010277
1000000,1000001,100,10,0315614033321272849194418437150696552087542450598956787961303311646283996346460422090106105779458151,3092756283,4,183,1,184,201,110,1,3092756283,True,3092756283,3092756283,3092756283,3092756283,309275628320845315846520010277
1000000,1000001,100,10,0315614033321272849194418437150696552087542450598956787961303311646283996346460422090106105779458151,3092756283,4,183,2,185,202,110,1,3092756283,True,3092756283,3092756283,3092756283,3092756283,309275628320845315846520010277
1000000,1000001,100,10,0315614033321272849194418437150696552087542450598956787961303311646283996346460422090106105779458151,3092756283,4,183,4,187,203,112,1,3092756283,True,3092756283,3092756283,3092756283,3092756283,309275628320845315846520010277
1000000,1000001,100,10,0315614033321272849194418437150696552087542450598956787961303311646283996346460422090106105779458151,3092756283,4,183,8,191,205,114,1,3092756283,True,3092756283,3092756283,3092756283,3092756283,309275628320845315846520010277
1000000,1000001,100,10,0315614033321272849194418437150696552087542450598956787961303311646283996346460422090106105779458151,3092756283,16,92,0,92,201,110,1,3092756283,True,3092756283,3092756283,3092756283,3092756283,309275628320845315846520010277
1000000,1000001,100,10,0315614033321272849194418437150696552087542450598956787961303311646283996346460422090106105779458151,3092756283,16,92,1,93,202,111,1,3092756283,True,3092756283,3092756283,3092756283,3092756283,309275628320845315846520010277
1000000,1000001,100,10,0315614033321272849194418437150696552087542450598956787961303311646283996346460422090106105779458151,3092756283,16,92,2,94,204,112,1,3092756283,True,3092756283,3092756283,3092756283,3092756283,309275628320845315846520010277
1000000,1000001,100,10,0315614033321272849194418437150696552087542450598956787961303311646283996346460422090106105779458151,3092756283,16,92,4,96,206,115,1,3092756283,True,3092756283,3092756283,3092756283,3092756283,309275628320845315846520010277
1000000,1000001,100,10,0315614033321272849194418437150696552087542450598956787961303311646283996346460422090106105779458151,3092756283,16,92,8,100,211,119,1,3092756283,True,3092756283,3092756283,3092756283,3092756283,309275628320845315846520010277
2000000,2000001,100,10,9621215177020957897106655259236971933822822674913229071744735892565046166373563236871065191457297909,6121731251,4,183,0,183,201,111,1,6121731251,True,6121731251,6121731251,6121731251,6121731251,612173125117978466726688273303
2000000,2000001,100,10,9621215177020957897106655259236971933822822674913229071744735892565046166373563236871065191457297909,6121731251,4,183,1,184,201,111,1,6121731251,True,6121731251,6121731251,6121731251,6121731251,612173125117978466726688273303
2000000,2000001,100,10,9621215177020957897106655259236971933822822674913229071744735892565046166373563236871065191457297909,6121731251,4,183,2,185,202,112,1,6121731251,True,6121731251,6121731251,6121731251,6121731251,612173125117978466726688273303
2000000,2000001,100,10,9621215177020957897106655259236971933822822674913229071744735892565046166373563236871065191457297909,6121731251,4,183,4,187,203,113,1,6121731251,True,6121731251,6121731251,6121731251,6121731251,612173125117978466726688273303
2000000,2000001,100,10,9621215177020957897106655259236971933822822674913229071744735892565046166373563236871065191457297909,6121731251,4,183,8,191,205,115,1,6121731251,True,6121731251,6121731251,6121731251,6121731251,612173125117978466726688273303
2000000,2000001,100,10,9621215177020957897106655259236971933822822674913229071744735892565046166373563236871065191457297909,6121731251,16,92,0,92,201,111,1,6121731251,True,6121731251,6121731251,6121731251,6121731251,612173125117978466726688273303
2000000,2000001,100,10,9621215177020957897106655259236971933822822674913229071744735892565046166373563236871065191457297909,6121731251,16,92,1,93,202,112,1,6121731251,True,6121731251,6121731251,6121731251,6121731251,612173125117978466726688273303
2000000,2000001,100,10,9621215177020957897106655259236971933822822674913229071744735892565046166373563236871065191457297909,6121731251,16,92,2,94,204,114,1,6121731251,True,6121731251,6121731251,6121731251,6121731251,612173125117978466726688273303
2000000,2000001,100,10,9621215177020957897106655259236971933822822674913229071744735892565046166373563236871065191457297909,6121731251,16,92,4,96,206,116,1,6121731251,True,6121731251,6121731251,6121731251,6121731251,612173125117978466726688273303
2000000,2000001,100,10,9621215177020957897106655259236971933822822674913229071744735892565046166373563236871065191457297909,6121731251,16,92,8,100,211,121,1,6121731251,True,6121731251,6121731251,6121731251,6121731251,612173125117978466726688273303
